支払手段,取引先名称,科目,細目
LIFEカード,メルカリ,消耗品,日用品
みずほ口座,ＪＣＢデビット,立替・資金移動,カード引落
みずほ口座,ライフカード,立替・資金移動,カード引落
JCBデビット,スシロー,交際費,飲食
JCBデビット,ユニクロ,消耗品,その他
JCBデビット,ノート,教養,習い事
JCBデビット,ケンタッキーフライドチキン,食費,昼食
JCBデビット,ダイドードリンコ　飲料自販機,食費,飲料
JCBデビット,ＷＦＫ　平塚店,食費,昼食
JCBデビット,さくらんぼ薬局,医療費,医薬品
JCBデビット,大地宅配,食費,夕食
JCBデビット,三和サクラス戸塚店,食費,夕食
JCBデビット,ダイソー,消耗品,日用品
JCBデビット,ローソン寒川岡田,食費,飲料
JCBデビット,ＡＰＰＬＥ．ＣＯＭ／ＢＩＬＬ,通信費,アプリ
JCBデビット,ＤＣＳ・ＥｎｅＪｅｔ狩場インター店,食費,カフェ
JCBデビット,まいばすけっと,食費,昼食
JCBデビット,横浜市営地下鉄　タッチ決済,交通費,電車
JCBデビット,業務スーパー　戸塚店,食費,夕食
JCBデビット,リトルマーメイド戸塚,食費,カフェ
JCBデビット,アエナサクラス戸塚店,食費,夕食
JCBデビット,メルカリ,美容・衣類,コスメ
JCBデビット,横浜スカイビル,交際費,飲食
JCBデビット,ナチュラルローソン横浜ベイクォーター,食費,飲料
JCBデビット,株式会社　高島屋　横浜店,交際費,贈答
JCBデビット,ローソン西横浜駅前,食費,飲料
JCBデビット,セリア２３０７サクラス戸塚店,消耗品,日用品
JCBデビット,セブン－イレブン大田区本羽田１丁目店,食費,飲料
JCBデビット,マルエツ　天王町,食費,昼食
JCBデビット,モスバーガー横浜天王町店,食費,カフェ
JCBデビット,ファミリーマート　横浜天王町,食費,飲料
JCBデビット,１２７８マツモトキヨシトツカーナモール店,消耗品,生活用品
JCBデビット,グランリヴィエール箱根,交際費,贈答
JCBデビット,いいオフィス,教養,会場
JCBデビット,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,食費,飲料
JCBデビット,東慶寺売店／Ａｉｒ,その他,雑費
JCBデビット,ハンズ　横浜店,消耗品,生活用品
JCBデビット,デイリーヤマザキ,食費,昼食
JCBデビット,ＤＣＳ・本厚木ミロードイースト店,食費,昼食
JCBデビット,ファミリーマート　港南中央通,食費,飲料
JCBデビット,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,消耗品,生活用品
JCBデビット,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,食費,夕食
JCBデビット,Ａｍａｚｏｎプライム会費,その他,雑費
JCBデビット,炭焼うな重とまぜそば　一二三,交際費,飲食
JCBデビット,ポルタ,交際費,飲食
JCBデビット,ＡＮＴＨＲＯＰＩＣ＊　ＣＬＡＵＤＥ　ＳＵＢ,教養,習い事
JCBデビット,Ｓｕｉｃａ〔携帯決済〕,立替・資金移動,精算
JCBデビット,ＭＩＳＳＰＲＥＴＴＹＷＯＭＡＮ横浜／ＳＢ,交際費,飲食
JCBデビット,ファミリーマート　サンズ戸塚駅北,食費,飲料
JCBデビット,東急ストア,食費,昼食
JCBデビット,サンマルクカフェ　戸塚店,食費,カフェ
JCBデビット,クリエイトエス・ディー,消耗品,日用品
JCBデビット,ＤＣＳ・根岸店,食費,カフェ
